interval_set,entity,method,avg,median,pstd
default,Zombie,mamdani,50.813914218169536,50.0,1.9936745289116737
default,Zombie,sugeno,50.857142857142854,50.0,2.0995626366712954
default,Zombie,tsukamoto,52.19047619047619,50.0,5.365548960382203
default,Skeleton,mamdani,50.813914218169536,50.0,1.9936745289116737
default,Skeleton,sugeno,50.857142857142854,50.0,2.0995626366712954
default,Skeleton,tsukamoto,52.19047619047619,50.0,5.365548960382203
default,Enderman,mamdani,73.91252955082743,84.44444444444444,14.984908834128744
default,Enderman,sugeno,80.0,80.0,0.0
default,Enderman,tsukamoto,98.22222222222223,100.0,3.9752319599996224
default,Boss,mamdani,73.91252955082743,84.44444444444444,14.984908834128744
default,Boss,sugeno,80.0,80.0,0.0
default,Boss,tsukamoto,98.22222222222223,100.0,3.9752319599996224
aggro_player_hp,Zombie,mamdani,50.857142857142854,50.0,2.0995626366712954
aggro_player_hp,Zombie,sugeno,50.857142857142854,50.0,2.0995626366712954
aggro_player_hp,Zombie,tsukamoto,52.19047619047619,50.0,5.365548960382203
aggro_player_hp,Skeleton,mamdani,50.857142857142854,50.0,2.0995626366712954
aggro_player_hp,Skeleton,sugeno,50.857142857142854,50.0,2.0995626366712954
aggro_player_hp,Skeleton,tsukamoto,52.19047619047619,50.0,5.365548960382203
aggro_player_hp,Enderman,mamdani,80.0,80.0,0.0
aggro_player_hp,Enderman,sugeno,80.0,80.0,0.0
aggro_player_hp,Enderman,tsukamoto,98.02335340266374,100.0,3.96281809602085
aggro_player_hp,Boss,mamdani,80.0,80.0,0.0
aggro_player_hp,Boss,sugeno,80.0,80.0,0.0
aggro_player_hp,Boss,tsukamoto,98.02335340266374,100.0,3.96281809602085
defensive_enemy_hp,Zombie,mamdani,50.857142857142854,50.0,2.0995626366712954
defensive_enemy_hp,Zombie,sugeno,50.857142857142854,50.0,2.0995626366712954
defensive_enemy_hp,Zombie,tsukamoto,52.19047619047619,50.0,5.365548960382203
defensive_enemy_hp,Skeleton,mamdani,50.857142857142854,50.0,2.0995626366712954
defensive_enemy_hp,Skeleton,sugeno,50.857142857142854,50.0,2.0995626366712954
defensive_enemy_hp,Skeleton,tsukamoto,52.19047619047619,50.0,5.365548960382203
defensive_enemy_hp,Enderman,mamdani,80.0,80.0,0.0
defensive_enemy_hp,Enderman,sugeno,80.0,80.0,0.0
defensive_enemy_hp,Enderman,tsukamoto,98.22222222222223,100.0,3.9752319599996224
defensive_enemy_hp,Boss,mamdani,80.0,80.0,0.0
defensive_enemy_hp,Boss,sugeno,80.0,80.0,0.0
defensive_enemy_hp,Boss,tsukamoto,98.22222222222223,100.0,3.9752319599996224
